==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.802841,0.000896,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d838b000","[Unified Memory Memcpy HtoD]",
1.802842,0.000992,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d838c000","[Unified Memory Memcpy HtoD]",
1.802843,0.001056,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d838d000","[Unified Memory Memcpy HtoD]",
1.802844,0.001504,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d838e000","[Unified Memory Memcpy HtoD]",
1.802846,0.003392,,,,,,,,,,,,,,"TITAN Xp (0)",,,28672.000000,"0x7f54d8390000","[Unified Memory Memcpy HtoD]",
1.802849,0.001088,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8397000","[Unified Memory Memcpy HtoD]",
1.802850,0.003744,,,,,,,,,,,,,,"TITAN Xp (0)",,,32768.000000,"0x7f54d8398000","[Unified Memory Memcpy HtoD]",
1.802869,0.006656,,,,,,,,,,,,,,"TITAN Xp (0)",,,57344.000000,"0x7f54d84f0000","[Unified Memory Memcpy HtoD]",
1.802875,0.001152,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d84fe000","[Unified Memory Memcpy HtoD]",
1.802877,0.001184,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d84ff000","[Unified Memory Memcpy HtoD]",
1.802980,0.004288,,,,,,,,,,,,,,"TITAN Xp (0)",,,28672.000000,"0x7f54d8210000","[Unified Memory Memcpy HtoD]",
1.802984,0.001536,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d8217000","[Unified Memory Memcpy HtoD]",
1.802985,0.002080,,,,,,,,,,,,,,"TITAN Xp (0)",,,12288.000000,"0x7f54d8219000","[Unified Memory Memcpy HtoD]",
1.802987,0.002560,,,,,,,,,,,,,,"TITAN Xp (0)",,,16384.000000,"0x7f54d821c000","[Unified Memory Memcpy HtoD]",
